,model,lesion,#TP @[ IoU=0.50      | area=   all | maxDets= 30 ],#FP @[ IoU=0.50      | area=   all | maxDets= 30 ],#FN @[ IoU=0.50      | area=   all | maxDets= 30 ],Sensitivity@ [avgFP=0.5],Sensitivity@ [avgFP=1],Sensitivity@ [avgFP=2],Sensitivity@ [avgFP=4],"mFROC@[0.5,1,2,4]", Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets= 30 ], Average Precision  (AP) @[ IoU=0.50:0.95 | area=   all | maxDets= 30 ], Average Precision  (AP) @[ IoU=0.50:0.95 | area=   all | maxDets=  1 ], Average Precision  (AP) @[ IoU=0.50:0.95 | area=   all | maxDets=  5 ], Average Precision  (AP) @[ IoU=0.50:0.95 | area=   all | maxDets= 10 ], Average Precision  (AP) @[ IoU=0.50      | area=   all | maxDets= 10 ], Average Precision  (AP) @[ IoU=0.75      | area=   all | maxDets= 10 ], Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets=  1 ], Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets=  5 ], Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets= 10 ]
0,convnext_base_with_fix,Pulmonary edema,162,1479,37,0.4974874371859296,0.6830820770519264,0.8209652915741498,0.8787343309956376,0.7200672842019109,0.6638190954773869,0.13796489571412726,0.03349245087143098,0.11274464082660621,0.1329458285464742,0.2302380656304162,0.11813059369596979,0.13316582914572864,0.464321608040201,0.6160804020100501
0,convnext_base_with_fix,Enlarged cardiac silhouette,207,1035,70,0.5526044352759154,0.7565755544094894,0.8682579880381486,0.9752176682947548,0.7881639115045771,0.6137184115523466,0.279913725023145,0.17650496880557437,0.270802898077753,0.27973618919096677,0.39485970467180365,0.29513358071314466,0.2823104693140794,0.5613718411552348,0.6104693140794224
0,convnext_base_with_fix,Consolidation,214,731,123,0.5618199802176063,0.7244008217301986,0.8806582141893715,0.9685334852917672,0.7838531253572358,0.4620178041543027,0.15486964790923421,0.09848397961272061,0.14949580629813083,0.15439175619443812,0.2876745123499775,0.1260442099393541,0.20919881305637986,0.42462908011869427,0.45727002967359054
0,convnext_base_with_fix,Atelectasis,221,1141,96,0.4269941415051825,0.5965012905075997,0.7711338744550384,0.900766110860748,0.6738488543321421,0.5116719242902208,0.11884901644565672,0.05776788753799765,0.11541871128828401,0.11858321927755214,0.2171237920320666,0.10883522140172064,0.18517350157728707,0.4760252365930599,0.5078864353312302
0,convnext_base_with_fix,Pleural abnormality,145,400,259,0.4487363210005211,0.6546349689914046,0.8501870545360726,0.972855712537546,0.731603514266386,0.21930693069306934,0.06835762557038923,0.06698462559359844,0.06903604848991095,0.06810258769405943,0.14413460795797034,0.0549676572923249,0.1292079207920792,0.20866336633663365,0.21534653465346537
0,convnext_base_with_fix,all,945,4758,589,0.4296183068830643,0.5767990977515777,0.7399694964453519,0.8850520576657954,0.6578597396864474,0.4912536111371854,0.1503433593554157,0.08634717434035376,0.14287923765485425,0.1490670777268763,0.25609469249608985,0.1381683510106471,0.186924739440476,0.42744336047004344,0.47747684227190434
0,convnext_base_baseline,Pulmonary edema,148,1417,51,0.3936348408710218,0.6278535534816941,0.7377798081315668,0.8683218725204973,0.656897518751195,0.5753768844221103,0.10867117070946959,0.02714085197691711,0.09427887093194949,0.10785206313067713,0.19328986832588996,0.09974949882888726,0.12613065326633166,0.43869346733668346,0.5618090452261305
0,convnext_base_baseline,Enlarged cardiac silhouette,197,968,80,0.5829196750902527,0.7193835045820605,0.8879872818202895,0.9570860666676032,0.7868441320400514,0.5624548736462093,0.26536058778033644,0.1771509499040892,0.2551460582325618,0.26540434190264933,0.3920390466570132,0.2997803085889828,0.26498194945848375,0.5083032490974729,0.5620938628158844
0,convnext_base_baseline,Consolidation,262,2002,75,0.4856577645895154,0.6981771937261552,0.8724035608308606,0.9505269620382688,0.7516913702961999,0.6252225519287835,0.16584269923503608,0.10675736445185853,0.15235270320917604,0.16341955059925198,0.2699679563924572,0.14370755678338326,0.20623145400593473,0.4807121661721069,0.5887240356083085
0,convnext_base_baseline,Atelectasis,139,460,178,0.333596214511041,0.5389542108785011,0.7482993977631202,0.911969213999042,0.6332047592879261,0.2955835962145111,0.0742514173164431,0.04741122331358273,0.07421280841516706,0.0742514173164431,0.15147127103188787,0.05687099664676666,0.15488958990536278,0.29463722397476344,0.2955835962145111
